"Category","Population Count","Land Area"
"Water",46557,4069
"Very Low Density Rural",2506315,4031730
"Low Density Rural",1533278,9946
"Rural",1725928,2398
"Suburban or Peri-Urban",945397,958
"Semi-dense Urban Area",251103,198
"Dense Urban Area",3205923,998
"Urban Center",8242590,1435
