"Category","Population Count","Land Area"
"Water",10226,1209
"Very Low Density Rural",4209449,887823
"Low Density Rural",4661225,28474
"Rural",3985571,5559
"Suburban or Peri-Urban",5068646,5119
"Semi-dense Urban Area",1113701,938
"Dense Urban Area",10084688,3545
"Urban Center",54851820,9368
