"Category","Population Count","Land Area"
"Water",4573,847
"Very Low Density Rural",2196433,506550
"Low Density Rural",3027211,25160
"Rural",1733643,2576
"Suburban or Peri-Urban",2533892,2761
"Semi-dense Urban Area",893123,847
"Dense Urban Area",3891840,1499
"Urban Center",12063375,3099
