"Category","Population Count","Land Area"
"Water",486,283
"Very Low Density Rural",1179201,1601733
"Low Density Rural",1086071,7716
"Rural",1005999,1355
"Suburban or Peri-Urban",1202885,1251
"Semi-dense Urban Area",246492,196
"Dense Urban Area",2425456,894
"Urban Center",8412935,2088
